split,task_idx,task_key,stage,time_s,P_eng_target_kw
heldout_evaluation,9,heldout_evaluation:009,181,181,40.0
heldout_evaluation,9,heldout_evaluation:009,182,182,40.0
heldout_evaluation,9,heldout_evaluation:009,183,183,10.0
heldout_evaluation,9,heldout_evaluation:009,184,184,0.0
heldout_evaluation,9,heldout_evaluation:009,185,185,0.0
heldout_evaluation,9,heldout_evaluation:009,186,186,0.0
heldout_evaluation,9,heldout_evaluation:009,187,187,0.0
heldout_evaluation,9,heldout_evaluation:009,188,188,0.0
heldout_evaluation,9,heldout_evaluation:009,189,189,0.0
heldout_evaluation,9,heldout_evaluation:009,190,190,0.0
heldout_evaluation,9,heldout_evaluation:009,191,191,0.0
heldout_evaluation,9,heldout_evaluation:009,192,192,0.0
heldout_evaluation,9,heldout_evaluation:009,193,193,0.0
heldout_evaluation,9,heldout_evaluation:009,194,194,0.0
heldout_evaluation,9,heldout_evaluation:009,195,195,0.0
heldout_evaluation,9,heldout_evaluation:009,196,196,0.0
heldout_evaluation,9,heldout_evaluation:009,197,197,0.0
heldout_evaluation,9,heldout_evaluation:009,198,198,0.0
heldout_evaluation,9,heldout_evaluation:009,199,199,0.0
heldout_evaluation,9,heldout_evaluation:009,200,200,0.0
heldout_evaluation,9,heldout_evaluation:009,201,201,0.0
heldout_evaluation,9,heldout_evaluation:009,202,202,0.0
heldout_evaluation,9,heldout_evaluation:009,203,203,0.0
heldout_evaluation,9,heldout_evaluation:009,204,204,0.0
heldout_evaluation,9,heldout_evaluation:009,205,205,0.0
heldout_evaluation,9,heldout_evaluation:009,206,206,0.0
heldout_evaluation,9,heldout_evaluation:009,207,207,0.0
heldout_evaluation,9,heldout_evaluation:009,208,208,0.0
heldout_evaluation,9,heldout_evaluation:009,209,209,0.0
heldout_evaluation,9,heldout_evaluation:009,210,210,0.0
heldout_evaluation,9,heldout_evaluation:009,211,211,0.0
heldout_evaluation,9,heldout_evaluation:009,212,212,0.0
heldout_evaluation,9,heldout_evaluation:009,213,213,0.0
heldout_evaluation,9,heldout_evaluation:009,214,214,0.0
heldout_evaluation,9,heldout_evaluation:009,215,215,0.0
heldout_evaluation,9,heldout_evaluation:009,216,216,0.0
heldout_evaluation,9,heldout_evaluation:009,217,217,0.0
heldout_evaluation,9,heldout_evaluation:009,218,218,0.0
heldout_evaluation,9,heldout_evaluation:009,219,219,55.0
heldout_evaluation,9,heldout_evaluation:009,220,220,45.0
heldout_evaluation,9,heldout_evaluation:009,221,221,50.0
heldout_evaluation,9,heldout_evaluation:009,222,222,0.0
heldout_evaluation,9,heldout_evaluation:009,223,223,0.0
heldout_evaluation,9,heldout_evaluation:009,224,224,0.0
heldout_evaluation,9,heldout_evaluation:009,225,225,0.0
heldout_evaluation,9,heldout_evaluation:009,226,226,0.0
heldout_evaluation,9,heldout_evaluation:009,227,227,0.0
heldout_evaluation,9,heldout_evaluation:009,228,228,0.0
heldout_evaluation,9,heldout_evaluation:009,229,229,0.0
heldout_evaluation,9,heldout_evaluation:009,230,230,15.0
heldout_evaluation,9,heldout_evaluation:009,231,231,20.0
heldout_evaluation,9,heldout_evaluation:009,232,232,30.0
heldout_evaluation,9,heldout_evaluation:009,233,233,55.0
heldout_evaluation,9,heldout_evaluation:009,234,234,55.0
heldout_evaluation,9,heldout_evaluation:009,235,235,40.0
heldout_evaluation,9,heldout_evaluation:009,236,236,50.0
heldout_evaluation,9,heldout_evaluation:009,237,237,70.0
heldout_evaluation,9,heldout_evaluation:009,238,238,50.0
heldout_evaluation,9,heldout_evaluation:009,239,239,5.0
heldout_evaluation,10,heldout_evaluation:010,0,0,0.0
heldout_evaluation,10,heldout_evaluation:010,1,1,0.0
heldout_evaluation,10,heldout_evaluation:010,2,2,0.0
heldout_evaluation,10,heldout_evaluation:010,3,3,0.0
heldout_evaluation,10,heldout_evaluation:010,4,4,0.0
heldout_evaluation,10,heldout_evaluation:010,5,5,0.0
heldout_evaluation,10,heldout_evaluation:010,6,6,0.0
heldout_evaluation,10,heldout_evaluation:010,7,7,0.0
heldout_evaluation,10,heldout_evaluation:010,8,8,0.0
heldout_evaluation,10,heldout_evaluation:010,9,9,0.0
heldout_evaluation,10,heldout_evaluation:010,10,10,0.0
heldout_evaluation,10,heldout_evaluation:010,11,11,0.0
heldout_evaluation,10,heldout_evaluation:010,12,12,0.0
heldout_evaluation,10,heldout_evaluation:010,13,13,0.0
heldout_evaluation,10,heldout_evaluation:010,14,14,0.0
heldout_evaluation,10,heldout_evaluation:010,15,15,5.0
heldout_evaluation,10,heldout_evaluation:010,16,16,0.0
heldout_evaluation,10,heldout_evaluation:010,17,17,0.0
heldout_evaluation,10,heldout_evaluation:010,18,18,0.0
heldout_evaluation,10,heldout_evaluation:010,19,19,0.0
heldout_evaluation,10,heldout_evaluation:010,20,20,5.0
heldout_evaluation,10,heldout_evaluation:010,21,21,5.0
heldout_evaluation,10,heldout_evaluation:010,22,22,5.0
heldout_evaluation,10,heldout_evaluation:010,23,23,10.0
heldout_evaluation,10,heldout_evaluation:010,24,24,15.0
heldout_evaluation,10,heldout_evaluation:010,25,25,15.0
heldout_evaluation,10,heldout_evaluation:010,26,26,10.0
heldout_evaluation,10,heldout_evaluation:010,27,27,10.0
heldout_evaluation,10,heldout_evaluation:010,28,28,20.0
heldout_evaluation,10,heldout_evaluation:010,29,29,20.0
heldout_evaluation,10,heldout_evaluation:010,30,30,25.0
heldout_evaluation,10,heldout_evaluation:010,31,31,25.0
heldout_evaluation,10,heldout_evaluation:010,32,32,25.0
heldout_evaluation,10,heldout_evaluation:010,33,33,30.0
heldout_evaluation,10,heldout_evaluation:010,34,34,40.0
heldout_evaluation,10,heldout_evaluation:010,35,35,35.0
heldout_evaluation,10,heldout_evaluation:010,36,36,45.0
heldout_evaluation,10,heldout_evaluation:010,37,37,0.0
heldout_evaluation,10,heldout_evaluation:010,38,38,0.0
heldout_evaluation,10,heldout_evaluation:010,39,39,0.0
heldout_evaluation,10,heldout_evaluation:010,40,40,0.0
heldout_evaluation,10,heldout_evaluation:010,41,41,0.0
heldout_evaluation,10,heldout_evaluation:010,42,42,5.0
heldout_evaluation,10,heldout_evaluation:010,43,43,0.0
heldout_evaluation,10,heldout_evaluation:010,44,44,0.0
heldout_evaluation,10,heldout_evaluation:010,45,45,0.0
heldout_evaluation,10,heldout_evaluation:010,46,46,0.0
heldout_evaluation,10,heldout_evaluation:010,47,47,0.0
heldout_evaluation,10,heldout_evaluation:010,48,48,0.0
heldout_evaluation,10,heldout_evaluation:010,49,49,0.0
heldout_evaluation,10,heldout_evaluation:010,50,50,0.0
heldout_evaluation,10,heldout_evaluation:010,51,51,0.0
heldout_evaluation,10,heldout_evaluation:010,52,52,0.0
heldout_evaluation,10,heldout_evaluation:010,53,53,0.0
heldout_evaluation,10,heldout_evaluation:010,54,54,0.0
heldout_evaluation,10,heldout_evaluation:010,55,55,0.0
heldout_evaluation,10,heldout_evaluation:010,56,56,0.0
heldout_evaluation,10,heldout_evaluation:010,57,57,0.0
heldout_evaluation,10,heldout_evaluation:010,58,58,0.0
heldout_evaluation,10,heldout_evaluation:010,59,59,0.0
heldout_evaluation,10,heldout_evaluation:010,60,60,0.0
heldout_evaluation,10,heldout_evaluation:010,61,61,0.0
heldout_evaluation,10,heldout_evaluation:010,62,62,0.0
heldout_evaluation,10,heldout_evaluation:010,63,63,0.0
heldout_evaluation,10,heldout_evaluation:010,64,64,0.0
heldout_evaluation,10,heldout_evaluation:010,65,65,0.0
heldout_evaluation,10,heldout_evaluation:010,66,66,0.0
heldout_evaluation,10,heldout_evaluation:010,67,67,0.0
heldout_evaluation,10,heldout_evaluation:010,68,68,0.0
heldout_evaluation,10,heldout_evaluation:010,69,69,0.0
heldout_evaluation,10,heldout_evaluation:010,70,70,0.0
heldout_evaluation,10,heldout_evaluation:010,71,71,0.0
heldout_evaluation,10,heldout_evaluation:010,72,72,0.0
heldout_evaluation,10,heldout_evaluation:010,73,73,0.0
heldout_evaluation,10,heldout_evaluation:010,74,74,0.0
heldout_evaluation,10,heldout_evaluation:010,75,75,0.0
heldout_evaluation,10,heldout_evaluation:010,76,76,5.0
heldout_evaluation,10,heldout_evaluation:010,77,77,0.0
heldout_evaluation,10,heldout_evaluation:010,78,78,10.0
heldout_evaluation,10,heldout_evaluation:010,79,79,15.0
heldout_evaluation,10,heldout_evaluation:010,80,80,15.0
heldout_evaluation,10,heldout_evaluation:010,81,81,10.0
heldout_evaluation,10,heldout_evaluation:010,82,82,20.0
heldout_evaluation,10,heldout_evaluation:010,83,83,10.0
heldout_evaluation,10,heldout_evaluation:010,84,84,15.0
heldout_evaluation,10,heldout_evaluation:010,85,85,30.0
heldout_evaluation,10,heldout_evaluation:010,86,86,25.0
heldout_evaluation,10,heldout_evaluation:010,87,87,20.0
heldout_evaluation,10,heldout_evaluation:010,88,88,30.0
heldout_evaluation,10,heldout_evaluation:010,89,89,25.0
heldout_evaluation,10,heldout_evaluation:010,90,90,25.0
heldout_evaluation,10,heldout_evaluation:010,91,91,40.0
heldout_evaluation,10,heldout_evaluation:010,92,92,25.0
heldout_evaluation,10,heldout_evaluation:010,93,93,25.0
heldout_evaluation,10,heldout_evaluation:010,94,94,15.0
heldout_evaluation,10,heldout_evaluation:010,95,95,15.0
heldout_evaluation,10,heldout_evaluation:010,96,96,5.0
heldout_evaluation,10,heldout_evaluation:010,97,97,15.0
heldout_evaluation,10,heldout_evaluation:010,98,98,25.0
heldout_evaluation,10,heldout_evaluation:010,99,99,5.0
heldout_evaluation,10,heldout_evaluation:010,100,100,10.0
heldout_evaluation,10,heldout_evaluation:010,101,101,5.0
heldout_evaluation,10,heldout_evaluation:010,102,102,30.0
heldout_evaluation,10,heldout_evaluation:010,103,103,5.0
heldout_evaluation,10,heldout_evaluation:010,104,104,5.0
heldout_evaluation,10,heldout_evaluation:010,105,105,10.0
heldout_evaluation,10,heldout_evaluation:010,106,106,5.0
heldout_evaluation,10,heldout_evaluation:010,107,107,10.0
heldout_evaluation,10,heldout_evaluation:010,108,108,25.0
heldout_evaluation,10,heldout_evaluation:010,109,109,5.0
heldout_evaluation,10,heldout_evaluation:010,110,110,15.0
heldout_evaluation,10,heldout_evaluation:010,111,111,5.0
heldout_evaluation,10,heldout_evaluation:010,112,112,20.0
heldout_evaluation,10,heldout_evaluation:010,113,113,10.0
heldout_evaluation,10,heldout_evaluation:010,114,114,5.0
heldout_evaluation,10,heldout_evaluation:010,115,115,5.0
heldout_evaluation,10,heldout_evaluation:010,116,116,0.0
heldout_evaluation,10,heldout_evaluation:010,117,117,0.0
heldout_evaluation,10,heldout_evaluation:010,118,118,0.0
heldout_evaluation,10,heldout_evaluation:010,119,119,0.0
heldout_evaluation,10,heldout_evaluation:010,120,120,0.0
heldout_evaluation,10,heldout_evaluation:010,121,121,0.0
heldout_evaluation,10,heldout_evaluation:010,122,122,0.0
heldout_evaluation,10,heldout_evaluation:010,123,123,0.0
heldout_evaluation,10,heldout_evaluation:010,124,124,0.0
heldout_evaluation,10,heldout_evaluation:010,125,125,0.0
heldout_evaluation,10,heldout_evaluation:010,126,126,0.0
heldout_evaluation,10,heldout_evaluation:010,127,127,0.0
heldout_evaluation,10,heldout_evaluation:010,128,128,0.0
heldout_evaluation,10,heldout_evaluation:010,129,129,0.0
heldout_evaluation,10,heldout_evaluation:010,130,130,0.0
heldout_evaluation,10,heldout_evaluation:010,131,131,0.0
heldout_evaluation,10,heldout_evaluation:010,132,132,0.0
heldout_evaluation,10,heldout_evaluation:010,133,133,0.0
heldout_evaluation,10,heldout_evaluation:010,134,134,0.0
heldout_evaluation,10,heldout_evaluation:010,135,135,0.0
heldout_evaluation,10,heldout_evaluation:010,136,136,0.0
heldout_evaluation,10,heldout_evaluation:010,137,137,0.0
heldout_evaluation,10,heldout_evaluation:010,138,138,0.0
heldout_evaluation,10,heldout_evaluation:010,139,139,0.0
heldout_evaluation,10,heldout_evaluation:010,140,140,0.0
heldout_evaluation,10,heldout_evaluation:010,141,141,0.0
heldout_evaluation,10,heldout_evaluation:010,142,142,0.0
heldout_evaluation,10,heldout_evaluation:010,143,143,0.0
heldout_evaluation,10,heldout_evaluation:010,144,144,0.0
heldout_evaluation,10,heldout_evaluation:010,145,145,0.0
heldout_evaluation,10,heldout_evaluation:010,146,146,0.0
heldout_evaluation,10,heldout_evaluation:010,147,147,0.0
heldout_evaluation,10,heldout_evaluation:010,148,148,0.0
heldout_evaluation,10,heldout_evaluation:010,149,149,0.0
heldout_evaluation,10,heldout_evaluation:010,150,150,0.0
heldout_evaluation,10,heldout_evaluation:010,151,151,0.0
heldout_evaluation,10,heldout_evaluation:010,152,152,0.0
heldout_evaluation,10,heldout_evaluation:010,153,153,0.0
heldout_evaluation,10,heldout_evaluation:010,154,154,0.0
heldout_evaluation,10,heldout_evaluation:010,155,155,0.0
heldout_evaluation,10,heldout_evaluation:010,156,156,0.0
heldout_evaluation,10,heldout_evaluation:010,157,157,0.0
heldout_evaluation,10,heldout_evaluation:010,158,158,0.0
heldout_evaluation,10,heldout_evaluation:010,159,159,0.0
heldout_evaluation,10,heldout_evaluation:010,160,160,0.0
heldout_evaluation,10,heldout_evaluation:010,161,161,0.0
heldout_evaluation,10,heldout_evaluation:010,162,162,0.0
heldout_evaluation,10,heldout_evaluation:010,163,163,0.0
heldout_evaluation,10,heldout_evaluation:010,164,164,0.0
heldout_evaluation,10,heldout_evaluation:010,165,165,0.0
heldout_evaluation,10,heldout_evaluation:010,166,166,0.0
heldout_evaluation,10,heldout_evaluation:010,167,167,0.0
heldout_evaluation,10,heldout_evaluation:010,168,168,0.0
heldout_evaluation,10,heldout_evaluation:010,169,169,10.0
heldout_evaluation,10,heldout_evaluation:010,170,170,15.0
heldout_evaluation,10,heldout_evaluation:010,171,171,20.0
heldout_evaluation,10,heldout_evaluation:010,172,172,20.0
heldout_evaluation,10,heldout_evaluation:010,173,173,20.0
heldout_evaluation,10,heldout_evaluation:010,174,174,20.0
heldout_evaluation,10,heldout_evaluation:010,175,175,20.0
heldout_evaluation,10,heldout_evaluation:010,176,176,25.0
heldout_evaluation,10,heldout_evaluation:010,177,177,35.0
heldout_evaluation,10,heldout_evaluation:010,178,178,30.0
heldout_evaluation,10,heldout_evaluation:010,179,179,30.0
heldout_evaluation,10,heldout_evaluation:010,180,180,40.0
heldout_evaluation,10,heldout_evaluation:010,181,181,25.0
heldout_evaluation,10,heldout_evaluation:010,182,182,10.0
heldout_evaluation,10,heldout_evaluation:010,183,183,10.0
heldout_evaluation,10,heldout_evaluation:010,184,184,25.0
heldout_evaluation,10,heldout_evaluation:010,185,185,5.0
heldout_evaluation,10,heldout_evaluation:010,186,186,15.0
heldout_evaluation,10,heldout_evaluation:010,187,187,10.0
heldout_evaluation,10,heldout_evaluation:010,188,188,20.0
heldout_evaluation,10,heldout_evaluation:010,189,189,10.0
heldout_evaluation,10,heldout_evaluation:010,190,190,10.0
heldout_evaluation,10,heldout_evaluation:010,191,191,10.0
heldout_evaluation,10,heldout_evaluation:010,192,192,5.0
heldout_evaluation,10,heldout_evaluation:010,193,193,10.0
heldout_evaluation,10,heldout_evaluation:010,194,194,20.0
heldout_evaluation,10,heldout_evaluation:010,195,195,5.0
heldout_evaluation,10,heldout_evaluation:010,196,196,15.0
heldout_evaluation,10,heldout_evaluation:010,197,197,5.0
heldout_evaluation,10,heldout_evaluation:010,198,198,5.0
heldout_evaluation,10,heldout_evaluation:010,199,199,10.0
heldout_evaluation,10,heldout_evaluation:010,200,200,20.0
heldout_evaluation,10,heldout_evaluation:010,201,201,10.0
heldout_evaluation,10,heldout_evaluation:010,202,202,5.0
heldout_evaluation,10,heldout_evaluation:010,203,203,5.0
heldout_evaluation,10,heldout_evaluation:010,204,204,15.0
heldout_evaluation,10,heldout_evaluation:010,205,205,15.0
heldout_evaluation,10,heldout_evaluation:010,206,206,10.0
heldout_evaluation,10,heldout_evaluation:010,207,207,20.0
heldout_evaluation,10,heldout_evaluation:010,208,208,5.0
