step,split,metric,delta_mean,delta_std,n
170000,heldout_evaluation,abs_final_SOC_error,5.141906527517444e-05,0.0009283334290948663,5
170000,heldout_evaluation,constraint_violation_steps,0.00625,0.042216425269082175,5
170000,heldout_evaluation,engine_switch_count,0.009375,0.09478594305064438,5
170000,meta_validation,SOC_RMSE,9.555481948396672e-06,0.000641473851648011,5
170000,meta_validation,SOC_corrected_fuel_kg,2.6571272336111687e-05,5.940826875818791e-05,5
170000,meta_validation,abs_final_SOC_error,0.00013328678799525776,0.0010705931102843991,5
170000,meta_validation,constraint_violation_steps,0.003125,0.01307281291459493,5
170000,meta_validation,engine_switch_count,0.028125,0.05887951150442741,5
180000,heldout_evaluation,SOC_RMSE,0.0003137271857159504,0.001070703908271483,5
180000,heldout_evaluation,SOC_corrected_fuel_kg,4.7164350931380144e-05,7.757435819850313e-05,5
180000,heldout_evaluation,abs_final_SOC_error,0.0003726944020986443,0.0012685008011082922,5
180000,heldout_evaluation,constraint_violation_steps,-0.003125,0.07843687748756958,5
180000,heldout_evaluation,engine_switch_count,0.01875,0.05568290525376707,5
180000,meta_validation,SOC_RMSE,3.970642421056603e-05,0.0006492534051829626,5
180000,meta_validation,SOC_corrected_fuel_kg,1.2149323763100734e-05,5.106862765877175e-05,5
180000,meta_validation,abs_final_SOC_error,-0.00014869336223554563,0.0008079688884995218,5
180000,meta_validation,constraint_violation_steps,-0.015625,0.015625,5
180000,meta_validation,engine_switch_count,0.00625,0.051348989766109326,5
190000,heldout_evaluation,SOC_RMSE,0.0002803710673653152,0.0003025605667896737,5
190000,heldout_evaluation,SOC_corrected_fuel_kg,-7.41948871634132e-05,0.00010664268792518118,5
190000,heldout_evaluation,abs_final_SOC_error,0.0004249298535544574,0.0007839264934102361,5
190000,heldout_evaluation,constraint_violation_steps,0.00625,0.05590169943749474,5
190000,heldout_evaluation,engine_switch_count,-0.015625,0.05412658773652741,5
190000,meta_validation,SOC_RMSE,-9.02790665583601e-05,0.000849184272522012,5
190000,meta_validation,SOC_corrected_fuel_kg,3.179370054597014e-05,7.139287290930321e-05,5
190000,meta_validation,abs_final_SOC_error,-0.0007088652718008499,0.0007285755539192584,5
190000,meta_validation,constraint_violation_steps,0.0125,0.020372507516258277,5
190000,meta_validation,engine_switch_count,0.03125,0.06536406457297465,5
200000,heldout_evaluation,SOC_RMSE,-0.0003398998471360336,0.00046680430658858235,5
200000,heldout_evaluation,SOC_corrected_fuel_kg,7.72993880525591e-05,9.193823178364622e-05,5
200000,heldout_evaluation,abs_final_SOC_error,-0.0007035503874050278,0.0013795158842128906,5
200000,heldout_evaluation,constraint_violation_steps,-0.025,0.046351240544347895,5
200000,heldout_evaluation,engine_switch_count,0.03125,0.09631896879639025,5
200000,meta_validation,SOC_RMSE,-0.0003676422159412213,0.0004781629878891464,5
200000,meta_validation,SOC_corrected_fuel_kg,4.75899298928047e-05,5.5411408198627855e-05,5
200000,meta_validation,abs_final_SOC_error,-0.00020098210246533542,0.0006119421433260696,5
200000,meta_validation,constraint_violation_steps,-0.015625,0.061515686515717274,5
200000,meta_validation,engine_switch_count,0.03125,0.03125,5
