split,controller_group,episodes,episode_reward_mean,episode_reward_std,SOC_tail_risk_mean,SOC_tail_risk_std,SOC_tail_violation_steps_mean,SOC_tail_violation_steps_std,SOC_RMSE_mean,SOC_RMSE_std,abs_final_SOC_error_mean,abs_final_SOC_error_std,constraint_violation_steps_mean,constraint_violation_steps_std,battery_limit_proximity_risk_mean,battery_limit_proximity_risk_std,SOC_corrected_fuel_kg_mean,SOC_corrected_fuel_kg_std,engine_switch_count_mean,engine_switch_count_std,battery_energy_throughput_kWh_mean,battery_energy_throughput_kWh_std,raw_action_magnitude_mean_mean,raw_action_magnitude_mean_std,action_magnitude_mean_mean,action_magnitude_mean_std,raw_action_saturation_ratio_mean,raw_action_saturation_ratio_std,final_action_saturation_ratio_mean,final_action_saturation_ratio_std,confidence_mean_mean,confidence_mean_std,confidence_min_mean,confidence_min_std,confidence_p5_mean,confidence_p5_std,confidence_p50_mean,confidence_p50_std,confidence_p95_mean,confidence_p95_std,distribution_confidence_mean_mean,distribution_confidence_mean_std,safety_margin_confidence_mean_mean,safety_margin_confidence_mean_std,stability_confidence_mean_mean,stability_confidence_mean_std,distribution_risk_mean_mean,distribution_risk_mean_std,distribution_risk_max_mean,distribution_risk_max_std,action_attenuation_ratio_mean_mean,action_attenuation_ratio_mean_std,fallback_activation_ratio_mean,fallback_activation_ratio_std,direction_suppression_ratio_mean,direction_suppression_ratio_std
stress_high_mass_uphill,baseline,32,-79.10085043534022,72.17176374623548,0.20532449808059305,0.20355136395314108,71.53125,60.14097208590413,0.05039875497682126,0.0203736599247718,0.06020505305144931,0.034610624000853685,3.5625,5.499644874898742,0.015545925772247718,0.023622308805771985,0.18502539785128003,0.17490516776303294,7.03125,5.246929905906882,0.2490461489189497,0.18197468268101782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stress_high_mass_uphill,gate_current,160,-78.45115034414971,71.67361347728938,0.20211549916460986,0.2017800292931025,70.59375,60.24712616330757,0.05003078751194491,0.020351298292542647,0.059653258332227996,0.03476673142522528,3.55625,5.4814994241995505,0.015509753213851885,0.02357206674568317,0.18505908671339832,0.17495892865539342,7.01875,5.261263958166326,0.2492097096427694,0.18183184926628287,0.4226980534983671,0.12514564081126062,0.254807637453359,0.11127959558796989,0.0019010416666666668,0.008265963026064409,0.0,0.0,0.5341108160595,0.1495277473204144,0.03392362061005418,0.09980129982683648,0.23929326826904757,0.24644329009105406,0.5719238598783232,0.1908444298570729,0.6927656333626072,0.08572505231103557,0.6086066906221023,0.10694405214250223,0.8000688982521128,0.1957751712959774,0.9320043357147252,0.012899197563199946,2.5349928803635473,0.4903420701140401,9.216112689919234,5.0897269290851685,0.5643930150560884,0.13477348180833976,0.046171874999999994,0.08623713153171149,0.24901041666666668,0.22024710293174435
stress_high_mass_uphill,gate_wider,160,-77.34573301340492,72.07872866836277,0.19826271695238554,0.20267404077229306,69.475,60.41667298850542,0.04938233500847536,0.020656485684393117,0.05884296258621359,0.03495008780588177,3.55625,5.494027296755996,0.015504744647811935,0.023567776861310948,0.18510709242388354,0.1749368115380291,7.09375,5.25689651196407,0.24833643340678555,0.18210835732193834,0.41071440217723715,0.08772152969320568,0.24936214818130725,0.09385321800635692,0.015390625000000002,0.047955140520982244,0.0,0.0,0.5354350519201331,0.15000661707889526,0.03579011683769956,0.10194687886630449,0.24553660154594098,0.24873728108608445,0.5725104882808351,0.19108748643823736,0.6927198455399869,0.08571168169283246,0.6086609691976903,0.10697082133033847,0.8032260564112841,0.19642735501057085,0.9340210343765871,0.01037963694246688,2.534760135082858,0.49044366387629,9.216073411239261,5.089777648922573,0.565091870575481,0.14138556013824125,0.046171874999999994,0.08623713153171149,0.21570312499999997,0.21911686591345353
stress_high_mass_uphill,old_no_gate,160,-79.11106665168862,72.92209408016492,0.20406477536720596,0.20507091847160813,71.05,60.857600182721626,0.049848934009915885,0.02096685269373842,0.06001632233171465,0.035077220109856456,3.59375,5.5636059293860844,0.01556201377671112,0.0236598853061871,0.18502398395246084,0.17483665106080348,7.10625,5.280384544472117,0.24796606326846202,0.18138299844104688,0.5681730095221857,0.14231002328602027,0.5681730095221857,0.14231002328602027,0.001119791666666667,0.004923941365177731,0.0009375,0.008345693957897622,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stress_low_soc,baseline,32,-193.15415819156178,79.6180391483139,0.7971811365748278,0.38612348261823415,176.09375,59.81030396961296,0.09211871742898148,0.021485289993320274,0.06959828524141323,0.03935171083270536,0.875,2.45903944661325,0.003710074373162326,0.010132655473314954,0.10157917896659027,0.06670598714655664,7.6875,6.943690931341918,0.2656034090957372,0.1510996080106512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stress_low_soc,gate_current,160,-188.20216369473167,78.07279076639401,0.7716552625690853,0.37731919689038523,173.34375,59.60579322463128,0.09072310826661992,0.021178555057538573,0.06769574291227134,0.04000829871952953,0.8375,2.3766770394818058,0.0036899257555768296,0.010098955866211614,0.10169561499802657,0.06682475847381196,7.7375,6.995969821976078,0.2652721487522913,0.1509113137822094,0.5986343277878812,0.2174578487379909,0.47707205460697527,0.20758674281194522,0.0038020833333333335,0.021375180209604213,0.0,0.0,0.3681956455178323,0.23354377555155742,0.0,0.0,0.018599587708689726,0.08295561606794202,0.32391401853082946,0.375545829614875,0.7587727095309361,0.27188999456604585,0.8261346971882413,0.07937344451456639,0.4145148967620587,0.2633387444111556,0.945910283322017,0.013902441735638371,1.5181808296251535,0.397480015449679,8.430983989877603,5.083763407405993,0.7485873603111324,0.1132621427885184,0.010208333333333333,0.03239834529382292,0.28130208333333334,0.2455917719873407
stress_low_soc,gate_wider,160,-182.27414920626728,79.80718440227291,0.7436883380994915,0.3830270736718486,169.3375,61.115452986540156,0.08915122182439068,0.021828572396323145,0.06644561105014621,0.038395380945337856,0.84375,2.3705138551588347,0.0037090604658868757,0.010191874845563146,0.10166269087555632,0.06685418221198877,7.625,6.96037894083361,0.2661184974620258,0.1517216089611833,0.3939006288115798,0.09982343303620686,0.28770067265666166,0.10604942012150512,0.0022916666666666667,0.00590726953281576,0.0,0.0,0.38714092329324234,0.23397096790048524,0.0,0.0,0.029362780046441782,0.09642218188444544,0.3442234348713168,0.37980748183519886,0.7845450860957917,0.2526850521728388,0.82619628268811,0.0794627267599722,0.43601443696642656,0.26398018130811535,0.9488359944827822,0.009761681048502549,1.5177002161314326,0.39732651522516743,8.431722753852156,5.083404301192696,0.6673454817505766,0.1405655831171931,0.009895833333333331,0.03177937043770167,0.5261197916666667,0.24394611140170314
stress_low_soc,old_no_gate,160,-195.172353639274,77.88713866176163,0.8058318425222909,0.3800666433363708,177.3625,57.03797939750321,0.09275397258430365,0.02100478216652444,0.06698726028397783,0.03829843109000191,0.80625,2.240247963396017,0.0036563895567328433,0.009981136138433164,0.10170921790864551,0.06678185716926284,7.66875,6.869062777228055,0.2685110167885142,0.15097249612614017,0.5227178889698626,0.11328814848253778,0.5227178889698626,0.11328814848253778,0.0009895833333333334,0.0023518378968490905,0.0031510416666666666,0.007507907795816762,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
weather_ice,baseline,16,-191.6179432132853,25.041874278994136,0.8294833281726328,0.12409838026219487,162.0625,13.603624287299322,0.09607723785171363,0.006813908594644704,0.11141476622713328,0.025801526700184776,0.0,0.0,0.0,0.0,0.03538100265190683,0.0076762523509447365,2.75,1.3919410907075054,0.23981280530321172,0.05974429235624103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
weather_ice,gate_current,80,-188.0765396031473,23.01158363420677,0.8083532651473044,0.11432600471615956,162.1,13.694524453225823,0.09488304418832079,0.006357715674387192,0.11253612921844162,0.023751998845284488,0.0,0.0,0.0,0.0,0.035546499071139874,0.0077707512986736,2.875,1.3543910070581537,0.23910084997770986,0.058750263376771326,0.6916857681004087,0.28249198459292835,0.5957951492208482,0.26506257601489186,0.03453125,0.09564563536881422,0.0,0.0,0.33625953847103507,0.06527597587259493,0.0,0.0,0.0,0.0,0.0983229123046809,0.12228707922710436,0.9254605318062772,0.01986712424065493,0.8947781621623925,0.020683436870390443,0.3681289057317437,0.0697021106860716,0.9539166003370857,0.013680716250255501,1.1625706004381466,0.12033223489746553,2.5601803887404833,2.6299478105285603,0.8192199011256157,0.11851024257766081,0.0,0.0,0.21046874999999998,0.24857230684806952
weather_ice,gate_wider,80,-188.47199531603866,23.721800047657528,0.8112715032717072,0.11735922413548411,162.0625,13.744402269651452,0.0950395373099013,0.006514256477706289,0.11266070773072571,0.024181894680196266,0.0,0.0,0.0,0.0,0.03546539100668328,0.007789835340923999,2.825,1.385415100249741,0.2383365872075367,0.058811915176548796,0.44189700085650757,0.10909614434700356,0.35525785796971004,0.09672415332501552,0.0,0.0,0.0,0.0,0.33620083864586414,0.06606503364260063,0.0,0.0,0.0,0.0,0.1001246124293351,0.12190722116528921,0.9241897770703982,0.01919465886391924,0.8947643476357537,0.02022785217837672,0.36832365822625523,0.07064478393385673,0.9518896826159509,0.009281828230996558,1.1629011830564542,0.11758008817249807,2.5697696483974317,2.6276161532566973,0.7508037092811668,0.07364828339938283,0.0,0.0,0.4726041666666666,0.14644777552035781
weather_ice,old_no_gate,80,-190.82013316817321,24.304660376553407,0.8227475827063337,0.12023796491417109,162.15,13.77053012777649,0.0957183953210063,0.006638347533604635,0.11233530320219438,0.024919488064254657,0.0,0.0,0.0,0.0,0.03541782262466382,0.0076876440750511515,2.775,1.378178145233772,0.23961471547872856,0.05944510225561867,0.5419877510172653,0.11221274308116572,0.5419877510172653,0.11221274308116572,0.0008854166666666666,0.001827375499255087,0.000625,0.0014877975892797605,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
weather_snow,baseline,16,-155.36470347943396,47.57780376976079,0.6418770385231556,0.23512438324108523,155.6875,24.55279706571127,0.0848975285918087,0.013587581646887567,0.10278593198631972,0.02462646233433523,0.0,0.0,0.0,0.0,0.04426719910451381,0.011482261193018565,4.375,2.1758618981911515,0.2510310103886734,0.06270969522520164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
weather_snow,gate_current,80,-144.74149300239705,50.241541487767364,0.5873601007768754,0.24778385105377618,149.55,27.44717653967344,0.08173334599358392,0.014636990544476222,0.09679270487604873,0.027336033986558407,0.0,0.0,0.0,0.0,0.04421918373895188,0.011314900065554214,4.275,2.162030295809936,0.24758134983526317,0.06225217534757814,0.6105628866313471,0.22456398141871803,0.5258385082644546,0.2134734857365612,0.013125000000000001,0.06489207118576026,0.0,0.0,0.44974895921960834,0.13687744732322213,2.0900808557815946e-05,0.0001359460847919965,0.012837840796410375,0.04549761659004536,0.3775128366179812,0.3061095936533707,0.9426545920188296,0.03283883530350253,0.8905256051409236,0.05792490314960063,0.49261625764662187,0.15715024888512855,0.9551250266274733,0.01357149468852082,1.1593655763196622,0.30992809183668285,4.549457609963734,4.790167381647634,0.8276719016584847,0.10545652686941157,0.0,0.0,0.20921874999999995,0.21017487525892375
weather_snow,gate_wider,80,-138.9383059403333,54.35329486042241,0.5616188080867401,0.26646386553263335,143.3625,33.822050407241726,0.07984355675331614,0.016086519340102644,0.0977759121588247,0.026026584468767412,0.0,0.0,0.0,0.0,0.04422187682827099,0.011262289364078268,4.3375,2.161849613178493,0.24396063525008288,0.060246764140330415,0.4325831913145777,0.11112129382009991,0.3551663682533266,0.10442547931811097,0.0004687500000000001,0.002281582928521823,0.0,0.0,0.4689747741491758,0.15678150082440506,2.425450381784791e-05,0.00013867113097168439,0.025241576006227347,0.07035752675534201,0.4231229452620749,0.3348123549065861,0.9405394700616855,0.030636272014669567,0.8914387450974954,0.05797045694969964,0.5145715619149913,0.17720980034015785,0.9520154689595248,0.00842975209243537,1.1533136355095874,0.31103426251845945,4.546160859587756,4.791521162241355,0.7730239153123202,0.08543863384153,0.0,0.0,0.4131250000000001,0.1461976105120889
weather_snow,old_no_gate,80,-146.38508386277252,57.32749122862942,0.5978625764863514,0.2825651579361288,146.2375,33.908053523462534,0.08201113178741133,0.016861214632119842,0.09884637217629491,0.027271153662893063,0.0,0.0,0.0,0.0,0.04414324180887315,0.011338593844447253,4.275,2.144615350126917,0.2457817601259203,0.06250662465646067,0.5321308114464239,0.10461783896088217,0.5321308114464239,0.10461783896088217,0.00203125,0.003018587527258771,0.0010937499999999999,0.0030005605668404324,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
