case_id,split,condition,domain,weather,ems_variant,controller_group,baseline_group,metric,baseline_value,controller_mean,delta_mean,delta_std,improvement_pct,n
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,fixed_retuned_calibration,map_rule_zero_offset,engine_switch_count,2.0,2.0,0.0,0.0,-0.0,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,global_static_tuned,map_rule_zero_offset,SOC_tail_risk,0.16761195831698783,0.11122927034527033,-0.0563826879717175,0.0,33.638821798792264,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,global_static_tuned,map_rule_zero_offset,SOC_RMSE,0.051865095549103984,0.0426109541019606,-0.009254141447143385,0.0,17.842715508702575,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,global_static_tuned,map_rule_zero_offset,SOC_MAE_to_ref,0.04495230422472451,0.03212080174297627,-0.01283150248174824,0.0,28.5447046665312,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,global_static_tuned,map_rule_zero_offset,abs_final_SOC_error,0.05869108690243008,0.02472361675257273,-0.03396747014985735,0.0,57.875006142458986,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,global_static_tuned,map_rule_zero_offset,time_in_SOC_band_0p03_pct,31.666666666666668,60.833333333333336,29.166666666666668,0.0,92.10526315789474,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,global_static_tuned,map_rule_zero_offset,constraint_violation_steps,0.0,0.0,0.0,0.0,nan,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,global_static_tuned,map_rule_zero_offset,SOC_corrected_fuel_kg,0.05586363907844673,0.05686354906815985,0.0009999099897131242,0.0,-1.7899120182790038,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,global_static_tuned,map_rule_zero_offset,engine_switch_count,2.0,2.0,0.0,0.0,-0.0,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,per_task_static_oracle,map_rule_zero_offset,SOC_tail_risk,0.16761195831698783,0.10357668958475373,-0.0640352687322341,0.0,38.20447501193833,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,per_task_static_oracle,map_rule_zero_offset,SOC_RMSE,0.051865095549103984,0.04131208229480053,-0.010553013254303453,0.0,20.34704292468187,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,per_task_static_oracle,map_rule_zero_offset,SOC_MAE_to_ref,0.04495230422472451,0.030878039171499987,-0.014074265053224521,0.0,31.309329512598026,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,per_task_static_oracle,map_rule_zero_offset,abs_final_SOC_error,0.05869108690243008,0.024688514000039463,-0.034002572902390615,0.0,57.93481548385289,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,per_task_static_oracle,map_rule_zero_offset,time_in_SOC_band_0p03_pct,31.666666666666668,62.916666666666664,31.249999999999996,0.0,98.68421052631578,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,per_task_static_oracle,map_rule_zero_offset,constraint_violation_steps,0.0,0.0,0.0,0.0,nan,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,per_task_static_oracle,map_rule_zero_offset,SOC_corrected_fuel_kg,0.05586363907844673,0.05708057885943152,0.001216939780984791,0.0,-2.178411218925245,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,per_task_static_oracle,map_rule_zero_offset,engine_switch_count,2.0,2.0,0.0,0.0,-0.0,1
