reward,reward_version,confidence_gate_enabled,SOC,final_SOC_error,fuel_kg,SOC_corrected_fuel_kg,fuel_L_per_100km,distance_km,engine_switch_count,mode_switch_count,battery_energy_throughput_kWh,SOC_RMSE,SOC_tail_risk,SOC_tail_risk_sum,SOC_tail_violation_steps,SOC_critical_violation_steps,battery_limit_proximity_risk,battery_limit_proximity_risk_sum,battery_limit_usage_peak,battery_limit_violation_steps,constraint_violation_steps,action_magnitude_mean,action_rate_mean,raw_action_magnitude_mean,raw_action_rate_mean,raw_action_saturation_ratio,final_action_saturation_ratio,confidence_mean,confidence_min,confidence_p5,confidence_p50,confidence_p95,distribution_confidence_mean,distribution_confidence_min,safety_margin_confidence_mean,safety_margin_confidence_min,stability_confidence_mean,stability_confidence_min,distribution_risk_mean,distribution_risk_max,action_attenuation_ratio_mean,fallback_activation_ratio,direction_suppression_ratio,reward_fuel_cost_sum,reward_soc_tracking_sum,reward_soc_tail_sum,reward_battery_limit_sum,reward_constraint_sum,reward_engine_switch_sum,reward_battery_throughput_sum,reward_action_magnitude_sum,reward_action_rate_sum,reward_terminal_soc_sum,last_delta_P_eng_on_kw,last_delta_SOC_ref,episode_reward,steps,split,task_idx,task_key,profile_uid,source_family,source_id,profile_id,initial_SOC,mass_scale,grade_bias,start_idx,abs_final_SOC_error,controller_group,policy,seed
-3.604872121437053,robustness_v2,0.0,0.4251206060557163,-0.12487939394428377,0.0630217969102806,0.08318772775056565,13.064154884692766,0.6475200021248311,4.0,10.0,0.1712619894209837,0.1047760540800354,1.0303133428741749,247.27520228980197,240.0,152.0,0.0022070280829174596,0.5296867399001903,0.9591463540860067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.2604359382056118,38.399999999999885,197.82016183184157,0.21187469596007616,0.0,0.2,0.24661726476621781,0.0,0.0,2.246381818328513,0.0,0.0,-240.3854715491021,240,stress_low_soc,0,stress_low_soc:000,sumo_selected:5e31676b25d223bc,sumo_selected,osm_custom_suburban_arterial,5e31676b25d223bc,0.45,1.0,0.0,189,0.12487939394428377,baseline,map_rule_zero_offset,baseline
-0.8527113790850853,robustness_v2,0.0,0.48000264832601,-0.06999735167399007,0.028075954199526108,0.039379354290421636,83.72771433061187,0.04501000040955841,3.0,17.0,0.15619963027677874,0.12676174500324774,1.5055383979250463,361.3292155020111,240.0,226.0,0.0,0.0,0.2914750246016609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5615190839905222,38.399999999999885,289.06337240160843,0.0,0.0,0.15000000000000002,0.22492746759856186,0.0,0.0,0.44527526284694446,0.0,0.0,-328.8450942160444,240,stress_low_soc,1,stress_low_soc:001,sumo_selected:e1db93d75f4c1e59,sumo_selected,osm_custom_suburban_arterial,e1db93d75f4c1e59,0.45,1.0,0.0,946,0.06999735167399007,baseline,map_rule_zero_offset,baseline
-0.9010622319958723,robustness_v2,0.0,0.4776048730661475,-0.07239512693385253,0.025620983952395572,0.03731158459362774,91.68376988888902,0.03751000043749809,2.0,12.0,0.14458990151121626,0.10063967679132835,0.9003194952096052,216.07667885030526,180.0,128.0,0.0,0.0,0.30956928861937066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5124196790479116,35.814878828836314,172.86134308024435,0.0,0.0,0.1,0.20820945817615197,0.0,0.0,0.48302754260600367,0.0,0.0,-209.97987858891068,240,stress_low_soc,2,stress_low_soc:002,sumo_selected:e1db93d75f4c1e59,sumo_selected,osm_custom_suburban_arterial,e1db93d75f4c1e59,0.45,1.0,0.0,908,0.07239512693385253,baseline,map_rule_zero_offset,baseline
-0.9419245833091042,robustness_v2,0.0,0.4761601848614473,-0.07383981513855276,0.08917926840833049,0.1011031620012786,12.622580353884219,0.9483299977369605,8.0,73.0,0.2389069424116029,0.0999765165299904,0.8898921586530666,213.57411807673597,180.0,124.0,7.247490110681819e-05,0.017393976265636366,0.8697829337050099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.7835853681666098,35.325772605245604,170.8592944613887,0.006957590506254547,0.0,0.39999999999999997,0.34402599707270665,0.0,0.0,0.5096769021581115,0.0,0.0,-209.22931292453828,240,stress_low_soc,3,stress_low_soc:003,sumo_selected:1fed345b65c63d81,sumo_selected,osm_custom_suburban_arterial,1fed345b65c63d81,0.45,1.0,0.0,67,0.07383981513855276,baseline,map_rule_zero_offset,baseline
-2.6686033562949074,robustness_v2,0.0,0.4454742748631542,-0.10452572513684583,0.10771909691944406,0.12459825109824094,22.329718211593644,0.6475200021248311,2.0,3.0,0.18828461056253365,0.0668867979112532,0.3502372713988363,84.05694513572071,136.0,18.0,0.016666666666666666,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.1543819383888807,26.120050271571934,67.24555610857654,1.6,16.0,0.1,0.2711298392100484,0.0,0.0,1.6357717541053745,0.0,0.0,-115.12688991185277,240,stress_high_mass_uphill,0,stress_high_mass_uphill:000,sumo_selected:5e31676b25d223bc,sumo_selected,osm_custom_suburban_arterial,5e31676b25d223bc,0.55,1.3,6.0,189,0.10452572513684583,baseline,map_rule_zero_offset,baseline
-0.08548371816717173,robustness_v2,0.0,0.5135993237860946,-0.036400676213905414,0.021942852207685114,0.02782095183552869,65.43766413733876,0.04501000040955841,4.0,13.0,0.10970003461374486,0.026518216123325344,0.009875176123370851,2.370042269609004,0.0,0.0,0.0,0.0,0.2761318013603831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.43885704415370236,7.50096838787618,1.896033815687202,0.0,0.0,0.2,0.1579680498437931,0.0,0.0,0.017070273331356065,0.0,0.0,-10.210897570892234,240,stress_high_mass_uphill,1,stress_high_mass_uphill:001,sumo_selected:e1db93d75f4c1e59,sumo_selected,osm_custom_suburban_arterial,e1db93d75f4c1e59,0.55,1.3,6.0,946,0.036400676213905414,baseline,map_rule_zero_offset,baseline
-0.005702182420993906,robustness_v2,0.0,0.5390982063644388,-0.010901793635561208,0.02541251610661902,0.027172973212840026,90.93777519809484,0.03751000043749809,4.0,9.0,0.11329405346931415,0.03365688243612101,0.04250200754461615,10.200481810707876,7.0,0.0,0.0,0.0,0.20850909478221707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5082503221323806,12.010170233458322,8.160385448566302,0.0,0.0,0.2,0.1631434369958125,0.0,0.0,0.0,0.0,0.0,-21.04194944115282,240,stress_high_mass_uphill,2,stress_high_mass_uphill:002,sumo_selected:e1db93d75f4c1e59,sumo_selected,osm_custom_suburban_arterial,e1db93d75f4c1e59,0.55,1.3,6.0,908,0.010901793635561208,baseline,map_rule_zero_offset,baseline
-2.7016640526028954,robustness_v2,0.0,0.44475556407385014,-0.1052444359261499,0.1523234446013826,0.16931865853682548,21.560110926877453,0.9483299977369605,6.0,17.0,0.31565495008969124,0.08313125076990029,0.5820911793696681,139.70188304872036,183.0,53.0,0.01861145212005073,4.4667485088121754,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0464688920276544,33.50683993067712,111.76150643897623,1.7866994035248704,16.0,0.3,0.45454312812915026,0.0,0.0,1.6573330777844968,0.0,0.0,-168.5133908711196,240,stress_high_mass_uphill,3,stress_high_mass_uphill:003,sumo_selected:1fed345b65c63d81,sumo_selected,osm_custom_suburban_arterial,1fed345b65c63d81,0.55,1.3,6.0,67,0.1052444359261499,baseline,map_rule_zero_offset,baseline
-3.9963118168526064,robustness_v2,0.0,0.416611047459726,-0.13338895254027405,0.11580812822297151,0.13734821027193922,24.006540565085952,0.6475200021248311,2.0,7.0,0.20226830263413248,0.112388305761773,1.2035070047679375,288.84168114430497,240.0,186.0,0.012517672240262004,3.0042413376628807,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.31616256445943,38.399999999999885,231.073344915444,1.2016965350651525,16.0,0.1,0.29126635579314936,0.0,0.0,2.5016685762082216,0.0,0.0,-291.88413894697,240,stress_combined_low_soc_mass_uphill,0,stress_combined_low_soc_mass_uphill:000,sumo_selected:5e31676b25d223bc,sumo_selected,osm_custom_suburban_arterial,5e31676b25d223bc,0.45,1.3,6.0,189,0.13338895254027405,baseline,map_rule_zero_offset,baseline
-0.02016016929334545,robustness_v2,0.0,0.5289250430818881,-0.021074956918111898,0.042699525041187646,0.046102777653562174,127.33792088753697,0.04501000040955841,4.0,13.0,0.1740276574189235,0.0915333277108267,0.7860043263115446,188.6410383147707,154.0,134.0,0.0,0.0,0.2956602714169207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.853990500823751,27.35125046536119,150.91283065181642,0.0,0.0,0.2,0.25059982668325,0.0,0.0,0.0,0.0,0.0,-179.56867144468487,240,stress_combined_low_soc_mass_uphill,1,stress_combined_low_soc_mass_uphill:001,sumo_selected:e1db93d75f4c1e59,sumo_selected,osm_custom_suburban_arterial,e1db93d75f4c1e59,0.45,1.3,6.0,946,0.021074956918111898,baseline,map_rule_zero_offset,baseline
