split,controller_group,policy,seed,task_idx,episode_reward_delta,SOC_tail_risk_delta,SOC_tail_violation_steps_delta,SOC_RMSE_delta,abs_final_SOC_error_delta,constraint_violation_steps_delta,battery_limit_proximity_risk_delta,battery_limit_usage_peak_delta,SOC_corrected_fuel_kg_delta,engine_switch_count_delta,battery_energy_throughput_kWh_delta,action_magnitude_mean_delta,action_rate_mean_delta
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,33,0.8590024043437836,-0.004789371383935204,-2.0,-0.0002697665139921729,-0.00018419626500482122,0.0,0.0,-0.0015452067308141526,6.647107605659008e-06,0.0,0.00013814719875404613,0.14487263819034624,0.018656350039721777
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,34,1.2938422129119829,-0.005938001527592274,-3.0,-0.00046045568360550404,-0.0008170823398436222,0.0,-7.334947664715263e-06,0.0,8.969607331810181e-05,0.0,0.0007721108851578284,0.20797225974060385,0.02953619052229137
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,35,0.04791409143579983,-0.00047987746459615677,0.0,-4.604443446591666e-05,-0.0001131963264671132,0.0,0.0,-0.0001322582182436971,1.153947333756844e-06,0.0,8.489724485000183e-05,0.08924705956706828,0.011817296610873503
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,36,-8.130771107390203,0.03060052014482051,8.0,0.0034956571824077826,0.0003510321308551889,0.0,0.003094724881551412,0.0,0.00017088505902490558,0.0,0.019502963418267627,0.612328006440722,0.09956081648253727
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,37,0.11205199748110317,-0.0005993387268786402,0.0,-0.00023952335494283744,-0.0007504479567099764,0.0,-3.3045580708793666e-06,-0.0019421068733493918,5.60294091711544e-05,0.0,0.0005628359675324823,0.1410668726277395,0.019511376780671223
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,38,0.8744159375414142,-0.003446287773515494,-14.0,-0.0005233673763183413,-0.0052355831142453235,0.0,0.0,0.0,-5.4962623346629935e-05,0.0,-0.0043029525835309446,0.07244747061641345,0.008093702535552439
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,39,1.5590998115657868,-0.005138598821897253,-1.0,-0.0006903063667943951,-0.022346954592704193,0.0,0.0,0.0,0.0020995937929374556,2.0,-0.011636178642798867,0.07045118540991098,0.00677074787284558
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,40,-1.8476153868068934,0.008874456373424544,3.0,0.000747430252026185,0.0009241870682669129,0.0,0.0,0.0007256822111311734,0.0001328874323618806,0.0,-0.00159048981436416,0.08138067258948771,0.00835896780481562
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,41,-0.007587068704822286,-0.00027924993473804616,0.0,-1.8063686061331463e-05,-0.0001088404071070137,0.0,0.0,0.0,3.2837927182796656e-06,0.0,8.163030533003823e-05,0.07924996021514137,0.004773302415075401
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,42,0.4390926589937294,-0.002548295706474857,0.0,-0.0001378210423819276,-0.0001317935897895972,0.0,0.0,-0.00020524894659579296,1.207864761663957e-05,0.0,9.884519234210076e-05,0.07255425537166754,0.00768535279300219
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,43,-0.23733527416640499,0.0005716448542495423,0.0,4.49507535829341e-05,-0.0002406702297400587,0.0,1.5528971937829459e-06,0.00026324185187376337,1.3049994743483118e-05,0.0,0.00018050267230496075,0.11841989189620815,0.015709188837354306
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,44,0.04925973074843881,-0.0005660931970455085,0.0,-9.74671536631555e-05,-0.00025796285388113294,0.0,-4.801323700809497e-05,-0.0007106308139948059,2.2447400335884327e-05,0.0,0.00019347214041121052,0.11120806219625391,0.013931413341197189
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,45,1.8172810023084693,-0.008721243537967063,-5.0,-0.0011159190138101405,-0.0018039796179949996,0.0,-0.0005461702621505846,0.0,0.00023773542388466629,0.0,0.0006677719823881545,0.43241914270652676,0.07200975675756739
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,46,0.8989741464485945,-0.005665996548236074,0.0,-0.00038897976710269844,-0.0007656918771050125,0.0,0.0,0.0,6.750478561137752e-05,0.0,-1.966311647172425e-06,0.2669281489637473,0.036546261849192276
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,47,0.9580148023179902,-0.0062221308480746584,-3.0,-0.0005790696231706277,0.002092992224250856,0.0,-7.429528669618268e-05,0.0,0.0003205593303000631,0.0,0.0015888997637452107,0.6592596050807172,0.10622862852695932
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,48,0.12217497006562894,-0.0009373048585844534,0.0,-4.8682321984044874e-05,-0.00018614233642727518,0.0,0.0,-0.0004175686021199998,7.187038377418076e-06,0.0,0.00013960675232033148,0.07629799626495999,0.005202308105072007
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,49,0.05711042453878434,-0.00044555405234791845,0.0,-4.9831869877427215e-05,-0.0004486604721047893,0.0,0.0,-0.0007853343794042011,2.2437447425888157e-05,0.0,0.00027892672725371437,0.08910690373159014,0.0076308202444730945
