split,task_idx,task_key,policy,policy_seed,profile_uid,source_family,source_id,profile_id,start_idx,horizon,initial_SOC,mass_scale,grade_bias,steps,episode_reward,reward,SOC,final_SOC_error,fuel_kg,SOC_corrected_fuel_kg,fuel_L_per_100km,distance_km,engine_switch_count,mode_switch_count,battery_energy_throughput_kWh,SOC_RMSE,constraint_violation_steps,last_delta_P_eng_on_kw,last_delta_SOC_ref,abs_final_SOC_error,dp_objective_reward,dp_frontier_cap,dp_frontier_cap_hit,dp_expansions,full_dp_decision_interval_s
meta_validation,3,meta_validation:003,latent_sac_adapter,20260707,sumo_selected:77f139ef9607a334,sumo_selected,osm_custom_urban_signalized,77f139ef9607a334,62,240,0.65,1.0,2.0,240,-3.1844770408738237,-0.2596715294749482,0.5088179211545765,-0.041182078845423575,0.06321176080012467,0.06986197688162249,10.952792952481728,0.7746699991691858,10.0,21.0,0.21275888243639263,0.0311188070153693,0.0,-0.023361233063042164,6.645671091973782e-05,0.041182078845423575,,,,,
meta_validation,3,meta_validation:003,latent_sac_adapter,20260708,sumo_selected:77f139ef9607a334,sumo_selected,osm_custom_urban_signalized,77f139ef9607a334,62,240,0.65,1.0,2.0,240,-3.2194565344328936,-0.26634863500089456,0.507763172942771,-0.04223682705722909,0.06297342153797138,0.06979396179242822,10.911495564815743,0.7746699991691858,10.0,21.0,0.21319845193493628,0.03147012866901003,0.0,0.04299082327634096,-0.00032294265925884245,0.04223682705722909,,,,,
meta_validation,3,meta_validation:003,latent_sac_adapter,20260709,sumo_selected:77f139ef9607a334,sumo_selected,osm_custom_urban_signalized,77f139ef9607a334,62,240,0.65,1.0,2.0,240,-3.3320098059478758,-0.2770301201380654,0.5060733714745653,-0.04392662852543472,0.06293462699886905,0.0700280418923304,10.904773579079286,0.7746699991691858,10.0,21.0,0.21879428368779735,0.03247024373226698,0.0,-0.055349115282297134,0.0006391072273254395,0.04392662852543472,,,,,
meta_validation,3,meta_validation:003,latent_sac_adapter,20260710,sumo_selected:77f139ef9607a334,sumo_selected,osm_custom_urban_signalized,77f139ef9607a334,62,240,0.65,1.0,2.0,240,-3.21320211198408,-0.2634163567165437,0.5082370125298025,-0.04176298747019758,0.06307668277611657,0.06982070587238053,10.929387788463767,0.7746699991691858,10.0,21.0,0.21289098466692416,0.031309418492227806,0.0,-0.042817541398108006,0.0008526314049959183,0.04176298747019758,,,,,
meta_validation,4,meta_validation:004,map_rule_zero_offset,,sumo_selected:79b4625e9a01a79e,sumo_selected,osm_custom_freeway_corridor,79b4625e9a01a79e,106,240,0.45,1.15,2.0,240,-84.23986358362262,-0.6209178384187918,0.45240974050911703,-0.09759025949088301,0.2899087972581606,0.305667989879296,10.205942623806072,3.812870006451383,29.0,86.0,0.731122441193375,0.11717304455007958,9.0,0.0,0.0,0.09759025949088301,,,,,
meta_validation,4,meta_validation:004,latent_sac_adapter,20260706,sumo_selected:79b4625e9a01a79e,sumo_selected,osm_custom_freeway_corridor,79b4625e9a01a79e,106,240,0.45,1.15,2.0,240,-84.5516197091294,-0.6227549897291034,0.45220800788484783,-0.09779199211515222,0.2899434502597874,0.30573521932144476,10.20716254727749,3.812870006451383,29.0,87.0,0.7441422191395914,0.11937559326774769,9.0,-0.03092545084655285,0.00429315596818924,0.09779199211515222,,,,,
meta_validation,4,meta_validation:004,latent_sac_adapter,20260707,sumo_selected:79b4625e9a01a79e,sumo_selected,osm_custom_freeway_corridor,79b4625e9a01a79e,106,240,0.45,1.15,2.0,240,-84.5601253533822,-0.7128365156468874,0.4380122169687387,-0.11198778303126133,0.2837306057556602,0.3018147573217132,9.988445712398946,3.812870006451383,27.0,86.0,0.7419490559502282,0.12025419060842531,9.0,-1.3546920418739319,0.002782661020755768,0.11198778303126133,,,,,
meta_validation,4,meta_validation:004,latent_sac_adapter,20260708,sumo_selected:79b4625e9a01a79e,sumo_selected,osm_custom_freeway_corridor,79b4625e9a01a79e,106,240,0.45,1.15,2.0,240,-108.57548599145694,-0.6793617647784013,0.4433124172057488,-0.10668758279425122,0.28613867087659567,0.30336692886370564,10.07321918147298,3.812870006451383,29.0,85.0,0.7616660610237422,0.11886475096787544,12.0,0.8210509121417999,0.004679034650325775,0.10668758279425122,,,,,
meta_validation,4,meta_validation:004,latent_sac_adapter,20260709,sumo_selected:79b4625e9a01a79e,sumo_selected,osm_custom_freeway_corridor,79b4625e9a01a79e,106,240,0.45,1.15,2.0,240,-84.50279731656657,-0.6221315995481784,0.4522759158600731,-0.09772408413992695,0.2896746531154912,0.30545545617636455,10.197699818798482,3.812870006451383,29.0,86.0,0.7296980172455778,0.11863256797706459,9.0,-0.009029953507706523,0.002839454412460327,0.09772408413992695,,,,,
meta_validation,4,meta_validation:004,latent_sac_adapter,20260710,sumo_selected:79b4625e9a01a79e,sumo_selected,osm_custom_freeway_corridor,79b4625e9a01a79e,106,240,0.45,1.15,2.0,240,-84.47291479875847,-0.6199936564705429,0.4527433843510089,-0.09725661564899113,0.2899495479281625,0.3056548626561695,10.207377209454576,3.812870006451383,29.0,86.0,0.7310424615368666,0.11748748827841442,9.0,-2.3371968269348145,0.003184485137462616,0.09725661564899113,,,,,
