controller,t_s,v_mps,P_dem_kw,SOC,engine_on,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_limit_kw,battery_limit_usage,delta_P_eng_on_kw,delta_SOC_ref,reward,SOC_tail_risk,battery_limit_proximity_risk,constraint_flags
baseline,88,20.540000915527344,-11.185561847821248,0.47975153142632065,0.0,0.0,-11.185561847821248,-9.361021509468081,38.94862054308744,0.2403428254695779,0.0,0.0,-0.40313107414342253,0.23505406804791346,0.0,0.0
baseline,89,20.510000228881836,4.784175075740286,0.47740501280647724,0.0,0.0,4.784175075740286,6.335600273577186,41.55776034247451,0.1524528805538595,0.0,0.0,-0.4220218785113073,0.23604635115851827,0.0,0.0
baseline,90,20.799999237060547,16.062258530322993,0.4706546149778035,0.0,0.0,16.062258530322993,18.226074137419147,41.15885217710113,0.4428227021248004,0.0,0.0,-0.5076319002763529,0.23812745541256455,0.0,0.0
baseline,91,20.829999923706055,7.0609856620421505,0.46741273586724447,0.0,0.0,7.0609856620421505,8.75307359850939,40.01128454622659,0.21876512333405904,0.0,0.0,-0.5548204173154787,0.24085595029770077,0.0,0.0
baseline,92,20.690000534057617,1.0943151280544905,0.4665473841419834,0.0,0.0,1.0943151280544905,2.3364496582049066,39.460165097431556,0.059210336612529404,0.0,0.0,-0.5671940263321674,0.2437265778008019,0.0,0.0
baseline,93,20.739999771118164,7.689521113824234,0.4630595639009416,0.0,0.0,7.689521113824234,9.417114650812842,39.31305530413717,0.23954166314368897,0.0,0.0,-0.6359370073131193,0.24741260039670818,0.0,0.0
baseline,94,20.959999084472656,13.797456570463213,0.4571936343885454,0.0,0.0,13.797456570463213,15.838009683469794,38.72012586316007,0.4090381766692223,0.0,0.0,-0.7699318131105513,0.25275031788249497,0.0,0.0
baseline,95,20.940000534057617,5.392369706677217,0.45461088916553055,0.0,0.0,5.392369706677217,6.973412102139993,37.72291784605271,0.18485876756931952,0.0,0.0,-0.8324353019612432,0.2588368502108074,0.0,0.0
baseline,96,21.34000015258789,20.60178334408195,0.4460997939597151,0.0,0.0,20.60178334408195,22.979957055701686,37.283851158140195,0.616351485747321,0.0,0.0,-1.0315952794668397,0.26728187361900213,0.0,0.0
baseline,97,20.8700008392334,-9.911412941215438,0.4491179379213797,0.0,0.0,-9.911412941215438,-8.148988696494404,40.156008241611396,0.20293323597961785,0.0,0.0,-0.9773725887365229,0.2749386018634246,0.0,0.0
baseline,98,20.81999969482422,4.275017755164324,0.44697042799028064,0.0,0.0,4.275017755164324,5.798276813967447,36.35004944663455,0.15951221256190828,0.0,0.0,-1.0107924628810976,0.28287448911929297,0.0,0.0
baseline,99,20.889999389648438,8.497579133967168,0.44316827976525586,0.0,0.0,8.497579133967168,10.265800207566963,35.98497275834771,0.2852801995017636,0.0,0.0,-1.0734138438389338,0.2914120882750489,0.0,0.0
baseline,100,21.290000915527344,20.534314718045426,0.43468323537272496,0.0,0.0,20.534314718045426,22.909619859833366,35.33860756009349,0.6482886973086145,0.0,0.0,-1.2142320819803345,0.30146083287178604,0.0,0.0
baseline,101,21.200000762939453,3.0820283739282694,0.4330091017731635,0.0,0.0,3.0820283739282694,4.520160718816005,33.89615001336324,0.13335321908340544,0.0,0.0,-1.2336624359169113,0.3116408047508541,0.0,0.0
baseline,102,20.799999237060547,-7.570033462968019,0.4351971518443334,0.0,0.0,-7.570033462968019,-5.9077351921586745,40.67963592907346,0.14522586196344142,0.0,0.0,-1.19920866456753,0.3211982431815578,0.0,0.0
baseline,103,22.5,71.0072518977782,0.43480502747910543,1.0,71.0,0.007251897778203897,1.05873578611541,33.98351581353667,0.031154392380251705,0.0,0.0,-1.3943953273760328,0.33064729325113795,0.0,0.0
baseline,104,24.18000030517578,76.30738879085966,0.43225609537554704,1.0,71.0,5.307388790859662,6.8821166796076945,33.91685467144792,0.20291140632805307,0.0,0.0,-1.347507593390364,0.3404018722914991,0.0,0.0
baseline,105,26.170000076293945,97.23567839811936,0.4215300597576907,1.0,71.0,26.23567839811936,28.96029616821209,33.483536213842996,0.8649115190001683,0.0,0.0,-1.5319083843851495,0.3519961829759773,9.322993664250733e-05,0.0
