split,task_idx,task_key,stage,time_s,delta_P_eng_on_kw,delta_SOC_ref
heldout_evaluation,9,heldout_evaluation:009,23,230,0.0,-0.005
heldout_evaluation,10,heldout_evaluation:010,0,0,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,1,10,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,2,20,-3.0,0.0
heldout_evaluation,10,heldout_evaluation:010,3,30,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,4,40,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,5,50,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,6,60,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,7,70,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,8,80,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,9,90,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,10,100,1.0,0.0
heldout_evaluation,10,heldout_evaluation:010,11,110,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,12,120,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,13,130,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,14,140,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,15,150,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,16,160,3.0,0.0
heldout_evaluation,10,heldout_evaluation:010,17,170,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,18,180,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,19,190,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,20,200,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,21,210,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,22,220,0.0,0.0
heldout_evaluation,10,heldout_evaluation:010,23,230,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,0,0,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,1,10,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,2,20,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,3,30,-2.0,0.0
heldout_evaluation,11,heldout_evaluation:011,4,40,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,5,50,1.0,0.0
heldout_evaluation,11,heldout_evaluation:011,6,60,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,7,70,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,8,80,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,9,90,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,10,100,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,11,110,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,12,120,-1.0,0.0
heldout_evaluation,11,heldout_evaluation:011,13,130,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,14,140,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,15,150,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,16,160,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,17,170,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,18,180,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,19,190,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,20,200,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,21,210,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,22,220,0.0,0.0
heldout_evaluation,11,heldout_evaluation:011,23,230,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,0,0,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,1,10,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,2,20,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,3,30,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,4,40,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,5,50,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,6,60,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,7,70,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,8,80,1.0,0.0
heldout_evaluation,12,heldout_evaluation:012,9,90,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,10,100,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,11,110,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,12,120,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,13,130,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,14,140,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,15,150,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,16,160,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,17,170,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,18,180,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,19,190,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,20,200,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,21,210,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,22,220,0.0,0.0
heldout_evaluation,12,heldout_evaluation:012,23,230,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,0,0,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,1,10,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,2,20,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,3,30,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,4,40,-3.0,0.0
heldout_evaluation,13,heldout_evaluation:013,5,50,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,6,60,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,7,70,3.0,0.0
heldout_evaluation,13,heldout_evaluation:013,8,80,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,9,90,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,10,100,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,11,110,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,12,120,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,13,130,-1.0,0.0
heldout_evaluation,13,heldout_evaluation:013,14,140,-2.0,0.0
heldout_evaluation,13,heldout_evaluation:013,15,150,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,16,160,-1.0,0.0
heldout_evaluation,13,heldout_evaluation:013,17,170,-3.0,0.0
heldout_evaluation,13,heldout_evaluation:013,18,180,-1.0,0.0
heldout_evaluation,13,heldout_evaluation:013,19,190,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,20,200,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,21,210,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,22,220,0.0,0.0
heldout_evaluation,13,heldout_evaluation:013,23,230,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,0,0,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,1,10,3.0,0.0
heldout_evaluation,14,heldout_evaluation:014,2,20,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,3,30,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,4,40,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,5,50,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,6,60,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,7,70,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,8,80,-1.0,0.0
heldout_evaluation,14,heldout_evaluation:014,9,90,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,10,100,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,11,110,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,12,120,0.0,0.0
