reward,SOC,final_SOC_error,fuel_kg,SOC_corrected_fuel_kg,fuel_L_per_100km,distance_km,engine_switch_count,mode_switch_count,battery_energy_throughput_kWh,SOC_RMSE,constraint_violation_steps,last_delta_P_eng_on_kw,last_delta_SOC_ref,episode_reward,steps,task_idx,profile_uid,source_family,source_id,profile_id,initial_SOC,mass_scale,grade_bias,start_idx,split,policy,train_step
-0.006714599678718648,0.5033213837623762,-0.046678616237623816,0.12568138381580893,0.1332191986388702,16.47555954403913,1.0239399978928267,11.0,20.0,0.23447898850832335,0.057098641453794695,0.0,-3.4508073329925537,-0.00177102442830801,-1.5589629509450487,240,7,sumo_selected:9c662254f232fad4,sumo_selected,osm_custom_urban_signalized,9c662254f232fad4,0.45,1.0,2.0,63,meta_validation,latent_sac_adapter,6000
-0.00811984606333401,0.4511704723554032,-0.09882952764459685,0.0,0.015959313674665757,0.0,0.03187000000104308,0.0,10.0,0.07509584517157787,0.056640954667486025,0.0,0.0,0.0,-0.9931527494049306,240,0,sumo_selected:ead0a7ca7c6f1c58,sumo_selected,osm_custom_suburban_arterial,ead0a7ca7c6f1c58,0.55,1.15,0.0,775,heldout_evaluation,map_rule_zero_offset,6000
-0.007249232684806836,0.5017339220589612,-0.048266077941038876,0.10214779565187455,0.10994195895575044,2.540567681310376,5.396870003182439,11.0,125.0,0.7806202271386238,0.0888560342187469,4.0,0.0,0.0,-22.396928374594708,240,1,sumo_selected:775a7ad9322d1068,sumo_selected,osm_custom_freeway_corridor,775a7ad9322d1068,0.55,1.15,-2.0,21,heldout_evaluation,map_rule_zero_offset,6000
-0.004061205583376404,0.5980907430370923,0.048090743037092265,0.0,-0.007765849653118967,0.0,1.541579996109009,0.0,152.0,0.2537711661685245,0.07261651225917781,0.0,0.0,0.0,-1.5379988292798854,240,2,sumo_selected:198b7383ffd405cb,sumo_selected,osm_custom_mixed_arterial,198b7383ffd405cb,0.65,1.0,-2.0,86,heldout_evaluation,map_rule_zero_offset,6000
-0.0007433333333334434,0.5566666666666681,0.006666666666668042,0.0,-0.001076555023923667,0.0,0.0,0.0,0.0,0.07000000000000013,0.05957897981159965,0.0,0.0,0.0,-1.07066666666668,240,3,sumo_selected:c999b5974c53ee65,sumo_selected,osm_custom_suburban_arterial,c999b5974c53ee65,0.65,1.15,0.0,411,heldout_evaluation,map_rule_zero_offset,6000
-0.004030829788631226,0.5022396276421097,-0.047760372357890324,0.18171827139058755,0.18943077171153874,9.398599082038784,2.595250001378357,16.0,66.0,0.47737023577426047,0.04079391775950764,1.0,0.0,0.0,-6.535763956247237,240,4,sumo_selected:47d183b11ad55e66,sumo_selected,osm_custom_suburban_arterial,47d183b11ad55e66,0.55,1.15,0.0,72,heldout_evaluation,map_rule_zero_offset,6000
-0.003343216412134252,0.514410474257328,-0.035589525742672046,0.07396401304893598,0.07971112545953493,5.300164160880554,1.8731599892862145,6.0,54.0,0.32565426201632425,0.026092550823732418,0.0,0.0,0.0,-0.8606345455073001,240,5,sumo_selected:28f2839276136a74,sumo_selected,osm_custom_suburban_arterial,28f2839276136a74,0.55,1.15,-2.0,802,heldout_evaluation,map_rule_zero_offset,6000
-0.005919766360834711,0.5042582022534359,-0.04574179774656417,0.09692888172721338,0.10431541605231645,7.908547150124429,1.6451299972459679,12.0,43.0,0.2965178384070415,0.03613685239480143,0.0,0.0,0.0,-1.1743371451596893,240,6,sumo_selected:28f2839276136a74,sumo_selected,osm_custom_suburban_arterial,28f2839276136a74,0.55,1.0,0.0,605,heldout_evaluation,map_rule_zero_offset,6000
-0.005502109308818214,0.4838486336397724,-0.06615136636022767,0.007930590027429468,0.018612927896604986,1.3128144622685174,0.8108599951546638,2.0,19.0,0.1743663293721263,0.032877146424389714,0.0,0.0,0.0,-0.6769817419989242,240,7,sumo_selected:e3d7b39ac5bdda55,sumo_selected,osm_custom_suburban_arterial,e3d7b39ac5bdda55,0.55,1.15,-2.0,117,heldout_evaluation,map_rule_zero_offset,6000
-0.00811984606333401,0.4511704723554032,-0.09882952764459685,0.0,0.015959313674665757,0.0,0.03187000000104308,0.0,10.0,0.07509584517157787,0.056640954667486025,0.0,-4.292515516281128,0.001982015185058117,-0.9931527494049306,240,0,sumo_selected:ead0a7ca7c6f1c58,sumo_selected,osm_custom_suburban_arterial,ead0a7ca7c6f1c58,0.55,1.15,0.0,775,heldout_evaluation,latent_sac_adapter,6000
-0.00387465825604035,0.5338724100251333,-0.01612758997486674,0.1132807701957781,0.11588510589746114,2.8174613249038827,5.396870003182439,15.0,127.0,0.7074105257217187,0.05093040448728964,2.0,-3.746323883533478,-0.0015860840678215027,-11.739552914511425,240,1,sumo_selected:775a7ad9322d1068,sumo_selected,osm_custom_freeway_corridor,775a7ad9322d1068,0.55,1.15,-2.0,21,heldout_evaluation,latent_sac_adapter,6000
-0.00475550667496585,0.6067695066819604,0.05676950668196035,0.003797388233155402,-0.005369936410462597,0.33064553422441906,1.541579996109009,2.0,153.0,0.24555408881675778,0.07910515273255804,0.0,-4.935773313045502,0.003905516862869263,-1.7155490725687594,240,2,sumo_selected:198b7383ffd405cb,sumo_selected,osm_custom_mixed_arterial,198b7383ffd405cb,0.65,1.0,-2.0,86,heldout_evaluation,latent_sac_adapter,6000
-0.0007433333333334434,0.5566666666666681,0.006666666666668042,0.0,-0.001076555023923667,0.0,0.0,0.0,0.0,0.07000000000000013,0.05957897981159965,0.0,-4.101971387863159,0.00032196782995015384,-1.07066666666668,240,3,sumo_selected:c999b5974c53ee65,sumo_selected,osm_custom_suburban_arterial,c999b5974c53ee65,0.65,1.15,0.0,411,heldout_evaluation,latent_sac_adapter,6000
-0.0037639785827599426,0.5055752677155008,-0.04442473228449928,0.1822658432781288,0.18943969358722856,9.426919892049868,2.595250001378357,16.0,66.0,0.47313518179948577,0.03920041641894454,1.0,-4.087335169315338,0.0020029835402965547,-6.500102687284046,240,4,sumo_selected:47d183b11ad55e66,sumo_selected,osm_custom_suburban_arterial,47d183b11ad55e66,0.55,1.15,0.0,72,heldout_evaluation,latent_sac_adapter,6000
-0.0009718619061504138,0.544052405582126,-0.005947594417874069,0.08003503500212349,0.0809954718997467,5.735205631046788,1.8731599892862145,8.0,56.0,0.27691403877697585,0.012817311276183907,0.0,-4.745323657989502,0.0022563258185982703,-0.6373206875811115,240,5,sumo_selected:28f2839276136a74,sumo_selected,osm_custom_suburban_arterial,28f2839276136a74,0.55,1.15,-2.0,802,heldout_evaluation,latent_sac_adapter,6000
-0.02501279109876198,0.5240275656971339,-0.02597243430286611,0.10406285819139965,0.10825697138624048,8.490617099034765,1.6451299972459679,15.0,45.0,0.25385253645560696,0.018905717831386813,0.0,-4.968956708908081,0.00088680200278759,-0.8988919948591729,240,6,sumo_selected:28f2839276136a74,sumo_selected,osm_custom_suburban_arterial,28f2839276136a74,0.55,1.0,0.0,605,heldout_evaluation,latent_sac_adapter,6000
-0.004154345820619235,0.5006956772422596,-0.04930432275774044,0.013414806785892826,0.021376629240791103,2.2206610474310735,0.8108599951546638,4.0,19.0,0.16100682703207742,0.02361746489373421,0.0,-4.599475264549255,0.00014583137817680836,-0.5859269214035701,240,7,sumo_selected:e3d7b39ac5bdda55,sumo_selected,osm_custom_suburban_arterial,e3d7b39ac5bdda55,0.55,1.15,-2.0,117,heldout_evaluation,latent_sac_adapter,6000
