split,task_key,controller_group,seed,episode_reward_delta,SOC_tail_risk_delta,SOC_tail_violation_steps_delta,SOC_RMSE_delta,abs_final_SOC_error_delta,constraint_violation_steps_delta,battery_limit_proximity_risk_delta,SOC_corrected_fuel_kg_delta,engine_switch_count_delta,battery_energy_throughput_kWh_delta,raw_action_magnitude_mean_delta,action_magnitude_mean_delta,raw_action_saturation_ratio_delta,final_action_saturation_ratio_delta,confidence_mean_delta,confidence_min_delta,confidence_p5_delta,confidence_p50_delta,confidence_p95_delta,distribution_confidence_mean_delta,safety_margin_confidence_mean_delta,stability_confidence_mean_delta,distribution_risk_mean_delta,distribution_risk_max_delta,action_attenuation_ratio_mean_delta,fallback_activation_ratio_delta,direction_suppression_ratio_delta
stress_combined_low_soc_mass_uphill,stress_combined_low_soc_mass_uphill:000,gate_current,20260707_step_140000,-0.03984796870639684,-0.00014423064045376854,0.0,-6.1902237584038344e-06,-9.506653221080796e-06,0.0,-2.9280009848989264e-08,-2.368573253558326e-06,0.0,8.561167037207662e-06,0.29985516572996834,0.08789059473971593,0.0,0.0,-0.9477375709188465,-1.0,-1.0,-1.0,-0.6381667027318982,-0.5019215893111495,-0.9476635770766415,-0.07515084135849182,2.988584545286911,12.42471613029413,-0.7119251157650734,0.07916666666666666,0.975
stress_combined_low_soc_mass_uphill,stress_combined_low_soc_mass_uphill:001,gate_current,20260707_step_140000,0.27396464222314876,-0.001477354694615296,-1.0,-0.00011240662277178792,-0.0005566722428654858,0.0,0.0,1.2187000166877238e-06,0.0,0.00041750418214903107,0.3610037637443776,0.12735953736044398,0.0,0.0,-0.8211015833430939,-1.0,-1.0,-1.0,-0.47177778763380984,-0.5296854644176716,-0.5979368532677332,-0.08191986554618724,3.213788427938957,16.399496604029384,-0.6696636181500802,0.0,0.6375
stress_combined_low_soc_mass_uphill,stress_combined_low_soc_mass_uphill:002,gate_current,20260707_step_140000,0.26519214269572444,-0.0015314321470303316,-1.0,-8.986914137271151e-05,-0.0005681844389963109,0.0,0.0,2.117853499739031e-06,0.0,0.00042613832924717765,0.3487538947968274,0.12515203453020302,0.008333333333333333,0.0,-0.8753834571144403,-1.0,-1.0,-1.0,-0.47177778763380984,-0.500486222669843,-0.769256326490116,-0.07865641778668986,3.021790259808055,15.812158225155407,-0.6625462187986384,0.0,0.8083333333333333
stress_combined_low_soc_mass_uphill,stress_combined_low_soc_mass_uphill:003,gate_current,20260707_step_140000,1.6738104201103283,-0.00852366304262997,-4.0,-0.0004368655372431335,-0.00072634124877341,0.0,-4.8514423071284105e-05,6.0374211756974994e-05,0.0,0.0007112964078665462,0.33342284149691664,0.12904026748444028,0.004166666666666667,0.0,-0.7400297274945192,-1.0,-1.0,-0.681144414440175,-0.4381228442119932,-0.4945593376156494,-0.6161031280438962,-0.07398350264728326,2.9245275429093924,3.8469537405795116,-0.6183258658664976,0.0,0.7041666666666667
weather_wet,weather_wet:000,gate_current,20260707_step_140000,59.99453078588934,-0.3123343636979016,-15.0,-0.01632943472859716,0.0010354306569959615,0.0,0.0,-0.0023800285343921618,-1.0,-0.03411752297074716,0.49917444494272306,0.4116195902563107,0.0,0.0,-0.6188078847954948,-1.0,-1.0,-0.7450911389293815,-0.04857024295591117,-0.07630001181635804,-0.6007245284500843,-0.06017831948582664,0.9677458585025221,1.8458823277514635,-0.2528983992101075,0.0,0.35833333333333334
weather_wet,weather_wet:001,gate_current,20260707_step_140000,1.2574736985338006,-0.001596537365058629,0.0,-0.0037742238099472032,-0.006452997708953467,0.0,0.0,-2.2545333058440753e-05,0.0,-0.011013891869234571,0.6652990201219443,0.6172699098623979,0.0,0.0,-0.07357884696097516,-0.3396761950998277,-0.17582030986934916,-0.06392943582418431,-0.021747627028301464,-0.061660578225039786,0.0,-0.05078515093791636,0.8372265296817131,2.277676861376529,-0.07357884696097527,0.0,0.0
weather_snow,weather_snow:000,gate_current,20260707_step_140000,6.272265305353102,-0.03329624716567581,0.0,-0.00200588453139873,-0.005200923723070294,0.0,0.0,2.037365453574913e-05,0.0,-0.0018858247588417476,0.41427966242736136,0.29024775436493294,0.0,0.0,-0.7540892269194002,-1.0,-1.0,-1.0,-0.06357409870325847,-0.11847985744765144,-0.733071506654887,-0.0582963678169669,1.2381329823436709,1.9452647562418275,-0.5168362735105811,0.0,0.6458333333333334
weather_snow,weather_snow:001,gate_current,20260707_step_140000,1.206316563287686,-0.0075627683913276345,0.0,-0.0003447243619352086,-0.0012118034010129008,0.0,0.0,5.2582252466730484e-05,0.0,0.0009088525507596201,0.41720369449882,0.3144729093104638,0.0,0.0,-0.6487273367635551,-1.0,-1.0,-1.0,-0.05453078488147145,-0.10634985622949267,-0.6193238116319959,-0.051425367334191896,1.1646498091878723,1.8597464217697202,-0.39915372691233775,0.0,0.5708333333333333
weather_ice,weather_ice:000,gate_current,20260707_step_140000,0.14858707248265546,-0.002302331765238863,0.0,-0.00016275813275744289,-0.0004171980860730451,0.0,0.0,1.3979418184199843e-05,0.0,0.00031289856455471443,0.45415532593859215,0.33284454654914486,0.0,0.0,-0.6717907268076986,-1.0,-1.0,-1.0,-0.08098942145240307,-0.1298525515007467,-0.6361029399372422,-0.058636665638114094,1.3020821247141254,1.7638415695606628,-0.37051944990084495,0.0,0.4791666666666667
weather_ice,weather_ice:001,gate_current,20260707_step_140000,-0.3086308856888422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49405809504001,0.36836052120214735,0.0,0.0,-0.6526486122227186,-1.0,-1.0,-0.9142484155793771,-0.06169535250292646,-0.1331720795026946,-0.628089442451885,-0.05716403780723056,1.2880004003946297,2.0944990652301194,-0.37315508804760344,0.0,0.44166666666666665
meta_validation,meta_validation:000,gate_current,20260708_step_90000,2.316569487352382,-0.01011468612732827,-8.0,-0.0011600299286179533,0.0015387951932317456,0.0,-1.843964718247198e-05,0.0001487493020868036,0.0,0.0004410772867203816,0.5841303528508708,0.48156571761452693,0.0,0.0,-0.26876115530054034,-1.0,-1.0,-0.1830866824931272,-0.062259218331984334,-0.15599245946705198,-0.16314094147128877,-0.048398003762321395,1.40118871634083,3.2953750835252755,-0.1909184661849228,0.0,0.20833333333333334
meta_validation,meta_validation:001,gate_current,20260708_step_90000,11.603704234025372,-0.04253716387880534,-52.0,-0.004641909739068549,-0.008333868021719038,0.0,0.0,-2.8629383842383727e-05,0.0,-0.01054244279715949,0.41786697821511554,0.3837042536422891,0.0,0.0,-0.09890334564053516,-0.9160637836268914,-0.34437453644426863,-0.06641553326535621,-0.01865915138617935,-0.06432530880581688,-0.02963515827947305,-0.040456741020899245,0.856830317531443,5.565179801078524,-0.07347901673119384,0.0,0.03333333333333333
meta_validation,meta_validation:002,gate_current,20260708_step_90000,-1.1539307730407842,0.0008566018523087082,0.0,0.0004386677446121673,0.004089327722763603,0.0,0.0009405639902428636,-4.25803125648494e-05,0.0,0.01647284688907713,0.4955699667817331,0.42729996431001027,0.0,0.0,-0.1979555749937979,-1.0,-0.9129861111111123,-0.07815080571815924,-0.05340557667518275,-0.1096852046230623,-0.12569635728367234,-0.05089726705068032,1.2169035527681005,18.506469164895062,-0.16728722522144834,0.0,0.14166666666666666
meta_validation,meta_validation:003,gate_current,20260708_step_90000,1.4745403423979866,-0.007022935748269288,0.0,-0.0009272758338311829,-0.0024705807628145893,0.0,0.0,0.00017117203609826048,0.0,0.0013679131047062976,0.5958482460623872,0.48457718079750645,0.0,0.0,-0.2606345082758813,-1.0,-1.0,-0.1020203387713765,-0.07366294620003422,-0.15640429259881927,-0.17335029701898408,-0.051980967613046714,1.4411560005761808,12.962534173386736,-0.23413598730499907,0.075,0.19166666666666668
meta_validation,meta_validation:004,gate_current,20260708_step_90000,-7.64578858450588,0.027754377960600318,15.0,0.0028353049243136294,0.0012312285717522298,0.0,0.0,0.00035421836992138855,0.0,0.008084581891595333,0.5740381828528777,0.5096528778304387,0.0,0.0,-0.2944952702434228,-1.0,-1.0,-0.09333333333333327,-0.04954626181502786,-0.09350823807961683,-0.23125399520897494,-0.040154808792308816,1.0966622378704523,10.468393472974293,-0.10946406119292684,0.0,0.15416666666666667
